GENE_NAME,ID,DESCRIPTION,SUMMARY
DSG2,1829,desmoglein 2,"This gene encodes a member of the desmoglein family and cadherin cell adhesion molecule superfamily of proteins. Desmogleins are calcium-binding transmembrane glycoprotein components of desmosomes, cell-cell junctions between epithelial, myocardial, and other cell types. The encoded preproprotein is proteolytically processed to generate the mature glycoprotein. This gene is present in a gene cluster with other desmoglein gene family members on chromosome 18. Mutations in this gene have been associated with arrhythmogenic right ventricular dysplasia, familial, 10. [provided by RefSeq, Jan 2016]"
TSPY26P,128854,"testis specific protein Y-linked 26, pseudogene","Predicted to enable chromatin binding activity and histone binding activity. Predicted to be involved in nucleosome assembly. Predicted to be active in chromatin and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
LRRIQ1,84125,leucine rich repeats and IQ motif containing 1,
GDNF,2668,glial cell derived neurotrophic factor,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. The recombinant form of this protein, a highly conserved neurotrophic factor, was shown to promote the survival and differentiation of dopaminergic neurons in culture, and was able to prevent apoptosis of motor neurons induced by axotomy. This protein is a ligand for the product of the RET (rearranged during transfection) protooncogene. Mutations in this gene may be associated with Hirschsprung disease and Tourette syndrome. This gene encodes multiple protein isoforms that may undergo similar proteolytic processing. [provided by RefSeq, Aug 2016]"
MPV17L,255027,MPV17 mitochondrial inner membrane protein like,"Involved in negative regulation of hydrogen peroxide biosynthetic process; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; and reactive oxygen species metabolic process. Located in peroxisome. [provided by Alliance of Genome Resources, Apr 2022]"
ABCA8,10351,ATP binding cassette subfamily A member 8,"The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. The encoded protein may regulate lipid metabolism and be involved in the formation and maintenance of myelin. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
MRAP2,112609,melanocortin 2 receptor accessory protein 2,"This gene encodes a protein that modulates melanocortin receptor signaling. The encoded protein has been shown to interact with all known melanocortin receptors and may regulate both receptor trafficking and activation in response to ligands. Mice lacking a functional copy of this gene exhibit severe obesity and a mutation in this gene may be associated with severe obesity in human patients. [provided by RefSeq, Oct 2016]"
ANKRD7,56311,ankyrin repeat domain 7,"Predicted to act upstream of or within blastocyst hatching. Located in centrosome and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
LOC340357,,,
RPSAP52,204010,ribosomal protein SA pseudogene 52,
ACY3,91703,aminoacylase 3,"Predicted to enable aminoacylase activity. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
ZIC4,84107,Zic family member 4,"This gene encodes a member of the ZIC family of C2H2-type zinc finger proteins. Members of this family are important during development, and have been associated with X-linked visceral heterotaxy and holoprosencephaly type 5. This gene is closely linked to the gene encoding zinc finger protein of the cerebellum 1, a related family member on chromosome 3. Heterozygous deletion of these linked genes is involved in Dandy-Walker malformation, which is a congenital cerebellar malformation. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Dec 2009]"
ZNF660,285349,zinc finger protein 660,"This gene encodes a protein that contains multiple C2H2 zinc finger domains, and is located in a cluster of zinc-finger encoding genes on chromosome 3. Naturally-occurring readthrough transcription is observed between this gene and the downstream zinc finger protein 197 gene and is represented by GeneID:110354863. [provided by RefSeq, May 2017]"
LOC100132349,100132349,similar to zinc finger protein 273,
KLHL13,90293,kelch like family member 13,"This gene encodes a BTB and kelch domain containing protein and belongs to the kelch repeat domain containing superfamily of proteins. The encoded protein functions as an adaptor protein that complexes with Cullin 3 and other proteins to form the Cullin 3-based E3 ubiquitin-protein ligase complex. This complex is necessary for proper chromosome segregation and completion of cytokinesis. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010]"
BDNF,627,brain derived neurotrophic factor,"This gene encodes a member of the nerve growth factor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. Binding of this protein to its cognate receptor promotes neuronal survival in the adult brain. Expression of this gene is reduced in Alzheimer's, Parkinson's, and Huntington's disease patients. This gene may play a role in the regulation of the stress response and in the biology of mood disorders. [provided by RefSeq, Nov 2015]"
FRAS1,80144,Fraser extracellular matrix complex subunit 1,"This gene encodes an extracellular matrix protein that appears to function in the regulation of epidermal-basement membrane adhesion and organogenesis during development. Mutations in this gene cause Fraser syndrome, a multisystem malformation that can include craniofacial, urogenital and respiratory system abnormalities. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]"
GPR82,27197,G protein-coupled receptor 82,"The protein encoded by this gene is an orphan G protein-coupled receptor of unknown function. The encoded protein is a member of a family of proteins that contain seven transmembrane domains and transduce extracellular signals through heterotrimeric G proteins. [provided by RefSeq, Sep 2011]"
MSI1,4440,musashi RNA binding protein 1,"This gene encodes a protein containing two conserved tandem RNA recognition motifs. Similar proteins in other species function as RNA-binding proteins and play central roles in posttranscriptional gene regulation. Expression of this gene has been correlated with the grade of the malignancy and proliferative activity in gliomas and melanomas. A pseudogene for this gene is located on chromosome 11q13. [provided by RefSeq, Jul 2008]"
GPC4,2239,glypican 4,"Cell surface heparan sulfate proteoglycans are composed of a membrane-associated protein core substituted with a variable number of heparan sulfate chains. Members of the glypican-related integral membrane proteoglycan family (GRIPS) contain a core protein anchored to the cytoplasmic membrane via a glycosyl phosphatidylinositol linkage.  These proteins may play a role in the control of cell division and growth regulation.  The GPC4 gene is adjacent to the 3' end of GPC3 and may also play a role in Simpson-Golabi-Behmel syndrome. [provided by RefSeq, Jul 2008]"
FCAR,2204,Fc alpha receptor,"This gene is a member of the immunoglobulin gene superfamily and encodes a receptor for the Fc region of IgA. The receptor is a transmembrane glycoprotein present on the surface of myeloid lineage cells such as neutrophils, monocytes, macrophages, and eosinophils, where it mediates immunologic responses to pathogens. It interacts with IgA-opsonized targets and triggers several immunologic defense processes, including phagocytosis, antibody-dependent cell-mediated cytotoxicity, and stimulation of the release of inflammatory mediators. Multiple alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2008]"
BIK,638,BCL2 interacting killer,"The protein encoded by this gene shares a critical BH3 domain with other death-promoting proteins, such as BID, BAK, BAD and BAX, that is required for its pro-apoptotic activity, and for interaction with anti-apoptotic members of the BCL2 family, and viral survival-promoting proteins. Since the activity of this protein is suppressed in the presence of survival-promoting proteins, it is suggested as a likely target for anti-apoptotic proteins. [provided by RefSeq, Sep 2011]"
HOTAIR,100124700,HOX transcript antisense RNA,"This gene is located within the Homeobox C (HOXC) gene cluster on chromosome 12 and is co-expressed with the HOXC genes. It functions through an RNA product, which binds lysine specific demethylase 1 (LSD1) and Polycomb repressive complex 2 (PRC2), and serves as a scaffold to assemble these regulators at the HOXD gene cluster, thereby promoting epigenetic repression of HOXD. This gene is highly expressed in multiple tumors. Alternatively spliced transcript variants have been identified. [provided by RefSeq, Feb 2019]"
ANKRD45,339416,ankyrin repeat domain 45,
MIR100HG,399959,mir-100-let-7a-2-mir-125b-1 cluster host gene,"This gene produces long non-coding RNAs that act as regulators of cell proliferation. Alternative promoter usage and splicing results in multiple transcript variants. Some transcript variants may promote growth, while others may act to negatively regulate cell division. [provided by RefSeq, May 2016]"
POU3F1,5453,POU class 3 homeobox 1,"Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in negative regulation of transcription by RNA polymerase II; positive regulation of gene expression; and positive regulation of transcription, DNA-templated. Predicted to act upstream of or within keratinocyte differentiation; nervous system development; and positive regulation of transcription by RNA polymerase II. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
PCDHB16,57717,protocadherin beta 16,"This gene is a member of the protocadherin beta gene cluster, one of three related gene clusters tandemly linked on chromosome five. The gene clusters demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The beta cluster contains 16 genes and 3 pseudogenes, each encoding 6 extracellular cadherin domains and a cytoplasmic tail that deviates from others in the cadherin superfamily. The extracellular domains interact in a homophilic manner to specify differential cell-cell connections. Unlike the alpha and gamma clusters, the transcripts from these genes are made up of only one large exon, not sharing common 3' exons as expected. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins. Their specific functions are unknown but they most likely play a critical role in the establishment and function of specific cell-cell neural connections. [provided by RefSeq, Jul 2008]"
ZFHX4,79776,zinc finger homeobox 4,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be part of chromatin. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
DFNA13,1302,collagen type XI alpha 2 chain,"This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. It is located on chromosome 6 very close to but separate from the gene for retinoid X receptor beta. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Proteolytic processing of this type XI chain produces PARP, a proline/arginine-rich protein that is an amino terminal domain. Mutations in this gene are associated with type III Stickler syndrome, otospondylomegaepiphyseal dysplasia (OSMED syndrome), Weissenbacher-Zweymuller syndrome, autosomal dominant non-syndromic sensorineural type 13 deafness (DFNA13), and autosomal recessive non-syndromic sensorineural type 53 deafness (DFNB53). Alternative splicing results in multiple transcript variants. A related pseudogene is located nearby on chromosome 6. [provided by RefSeq, Jul 2009]"
FLRT3,23767,fibronectin leucine rich transmembrane protein 3,"This gene encodes a member of the fibronectin leucine rich transmembrane protein (FLRT) family. FLRTs may function in cell adhesion and/or receptor signalling. Their protein structures resemble small leucine-rich proteoglycans found in the extracellular matrix. This gene is expressed in many tissues. Two alternatively spliced transcript variants encoding the same protein have been described for this gene. [provided by RefSeq, Jul 2010]"
DZIP1,22873,DAZ interacting zinc finger protein 1,"Predicted to enable metal ion binding activity. Involved in cilium assembly; germ cell development; and spermatogenesis. Located in cytosol; microtubule organizing center; and nucleoplasm. Colocalizes with centriole. Implicated in mitral valve prolapse and spermatogenic failure 47. [provided by Alliance of Genome Resources, Apr 2022]"
SERTAD4,56256,SERTA domain containing 4,"Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
HOXA13,3209,homeobox A13,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. Expansion of a polyalanine tract in the encoded protein can cause hand-foot-uterus syndrome, also known as hand-foot-genital syndrome. [provided by RefSeq, Jul 2008]"
C9orf50,375759,chromosome 9 open reading frame 50,
TRPM3,80036,transient receptor potential cation channel subfamily M member 3,"The product of this gene belongs to the family of transient receptor potential (TRP) channels. TRP channels are cation-selective channels important for cellular calcium signaling and homeostasis. The protein encoded by this gene mediates calcium entry, and this entry is potentiated by calcium store depletion. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"
DNAJC12,56521,DnaJ heat shock protein family (Hsp40) member C12,"This gene encodes a member of a subclass of the HSP40/DnaJ protein family. Members of this family of proteins are associated with complex assembly, protein folding, and export. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]"
SUCNR1,56670,succinate receptor 1,"This gene encodes a G-protein-coupled receptor for succinate, an intermediate molecule of the citric acid cycle. It is involved in the promotion of hematopoietic progenitor cell development, and it has a potential role in renovascular hypertension which has known correlations to renal failure, diabetes and atherosclerosis. [provided by RefSeq, Oct 2009]"
ZNF521,25925,zinc finger protein 521,"Enables protein domain specific binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to act upstream of or within neuron fate commitment. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
ZNF883,169834,zinc finger protein 883,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
CCDC74B,91409,coiled-coil domain containing 74B,
KCNAB2,8514,potassium voltage-gated channel subfamily A regulatory beta subunit 2,"Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member is one of the beta subunits, which are auxiliary proteins associating with functional Kv-alpha subunits. This member alters functional properties of the KCNA4 gene product. Alternative splicing of this gene results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Dec 2010]"
DSS,5376,peripheral myelin protein 22,"This gene encodes an integral membrane protein that is a major component of myelin in the peripheral nervous system. Studies suggest two alternately used promoters drive tissue-specific expression. Various mutations of this gene are causes of Charcot-Marie-Tooth disease Type IA, Dejerine-Sottas syndrome, and hereditary neuropathy with liability to pressure palsies. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
PIEZO2,63895,piezo type mechanosensitive ion channel component 2,"The protein encoded by this gene contains more than thirty transmembrane domains and likely functions as part of mechanically-activated (MA) cation channels. These channels serve to connect mechanical forces to biological signals. The encoded protein quickly adapts MA currents in somatosensory neurons. Defects in this gene are a cause of type 5 distal arthrogryposis. Several alternatively spliced transcript variants of this gene have been described, but their full-length nature is not known. [provided by RefSeq, Feb 2014]"
C1GALT1C1L,728819,C1GALT1 specific chaperone 1 like,"Predicted to enable glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity. Predicted to be involved in O-glycan processing, core 1. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
RGS18,64407,regulator of G protein signaling 18,"This gene encodes a member of the regulator of G-protein signaling family. This protein is contains a conserved, 120 amino acid motif called the RGS domain. The protein attenuates the signaling activity of G-proteins by binding to activated, GTP-bound G alpha subunits and acting as a GTPase activating protein (GAP), increasing the rate of conversion of the GTP to GDP. This hydrolysis allows the G alpha subunits to bind G beta/gamma subunit heterodimers, forming inactive G-protein heterotrimers, thereby terminating the signal. Alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized. [provided by RefSeq, Jul 2008]"
UBE2Q2P3,100134869,UBE2Q2 pseudogene 2,
SLITRK6,84189,SLIT and NTRK like family member 6,"This gene encodes a member of the SLITRK protein family. Members of this family are integral membrane proteins that are characterized by two N-terminal leucine-rich repeat (LRR) domains and a C-terminal region that shares homology with trk neurotrophin receptors. This protein functions as a regulator of neurite outgrowth required for normal hearing and vision. Mutations in this gene are a cause of myopia and deafness. [provided by RefSeq, Dec 2014]"
MMP16,4325,matrix metallopeptidase 16,"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. The encoded protein activates MMP2 by cleavage. This gene was once referred to as MT-MMP2, but was renamed as MT-MMP3 or MMP16. [provided by RefSeq, Oct 2010]"
SPRY4,81848,sprouty RTK signaling antagonist 4,"This gene encodes a member of a family of cysteine- and proline-rich proteins. The encoded protein is an inhibitor of the receptor-transduced mitogen-activated protein kinase (MAPK) signaling pathway. Activity of this protein impairs the formation of active GTP-RAS. Nucleotide variation in this gene has been associated with hypogonadotropic hypogonadism 17 with or without anosmia. Alternative splicing results in a multiple transcript variants. [provided by RefSeq, Jun 2014]"
SKAP1,8631,src kinase associated phosphoprotein 1,"This gene encodes a T cell adaptor protein, a class of intracellular molecules with modular domains capable of recruiting additional proteins but that exhibit no intrinsic enzymatic activity. The encoded protein contains a unique N-terminal region followed by a PH domain and C-terminal SH3 domain. Along with the adhesion and degranulation-promoting adaptor protein, the encoded protein plays a critical role in inside-out signaling by coupling T-cell antigen receptor stimulation to the activation of integrins. [provided by RefSeq, Jul 2008]"
ST4,6484,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4","This gene encodes a member of the glycosyltransferase 29 family, a group of enzymes involved in protein glycosylation. The encoded protein is targeted to Golgi membranes but may be proteolytically processed and secreted. The gene product may also be involved in the increased expression of sialyl Lewis X antigen seen in inflammatory responses. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
PCDHB11,56125,protocadherin beta 11,"This gene is a member of the protocadherin beta gene cluster, one of three related gene clusters tandemly linked on chromosome five. The gene clusters demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The beta cluster contains 16 genes and 3 pseudogenes, each encoding 6 extracellular cadherin domains and a cytoplasmic tail that deviates from others in the cadherin superfamily. The extracellular domains interact in a homophilic manner to specify differential cell-cell connections. Unlike the alpha and gamma clusters, the transcripts from these genes are made up of only one large exon, not sharing common 3' exons as expected. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins. Their specific functions are unknown but they most likely play a critical role in the establishment and function of specific cell-cell neural connections. [provided by RefSeq, Jul 2008]"
TTBK1,84630,tau tubulin kinase 1,"Summary:This gene belongs to the casein kinase 1 superfamily. The encoded protein is a neuron-specific, serine/threonine and tyrosine kinase, which regulates phosphorylation of tau, a protein that associates with microtubule assemblies and stabilizes them. Genetic variants in this gene are associated with Alzheimer's disease. [provided by RefSeq, Jul 2016]"
ZNF695,57116,zinc finger protein 695,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
PCDHB6,56130,protocadherin beta 6,"This gene is a member of the protocadherin beta gene cluster, one of three related gene clusters tandemly linked on chromosome five. The gene clusters demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. Unlike the alpha and gamma clusters, the transcripts from these genes do not share common 3' exons. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins that most likely play a critical role in the establishment and function of specific cell-cell neural connections. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]"
SLC10A5,347051,solute carrier family 10 member 5,"Predicted to enable bile acid:sodium symporter activity. Predicted to be involved in bile acid and bile salt transport. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ANGPT1,284,angiopoietin 1,"This gene encodes a secreted glycoprotein that belongs to the angiopoietin family. Members of this family play important roles in vascular development and angiogenesis. All angiopoietins bind with similar affinity to an endothelial cell-specific tyrosine-protein kinase receptor. The protein encoded by this gene is a secreted glycoprotein that activates the receptor by inducing its tyrosine phosphorylation. It plays a critical role in mediating reciprocal interactions between the endothelium and surrounding matrix and mesenchyme and inhibits endothelial permeability. The protein also contributes to blood vessel maturation and stability, and may be involved in early development of the heart. Mutations in this gene are associated with hereditary angioedema. [provided by RefSeq, Aug 2020]"
JAM3,83700,junctional adhesion molecule 3,"Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. The protein encoded by this immunoglobulin superfamily gene member is localized in the tight junctions between high endothelial cells. Unlike other proteins in this family, the this protein is unable to adhere to leukocyte cell lines and only forms weak homotypic interactions. The encoded protein is a member of the junctional adhesion molecule protein family and acts as a receptor for another member of this family. A mutation in an intron of this gene is associated with hemorrhagic destruction of the brain, subependymal calcification, and congenital cataracts. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Apr 2011]"
LINC00896,150197,long intergenic non-protein coding RNA 896,
ZNF214,7761,zinc finger protein 214,"This gene is expressed predominantly in the testis and encodes a zinc finger protein that contains an N-terminal kruppel-associated box A (KRABA) domain and twelve zinc finger domains. This gene is located within one of three regions on chromosome 11p15 associated with Beckwith-Wiedemann syndrome, called Beckwith-Wiedemann syndrome chromosome region-2 (BWSCR2), and is thought to play a role in the etiology of this disease. [provided by RefSeq, Aug 2017]"
PCDHB19P,84054,protocadherin beta 19 pseudogene,
RAMP2-AS1,100190938,RAMP2 antisense RNA 1,
WIPI1,55062,"WD repeat domain, phosphoinositide interacting 1","This gene encodes a WD40 repeat protein. Members of the WD40 repeat family are key components of many essential biologic functions. They regulate the assembly of multiprotein complexes by presenting a beta-propeller platform for simultaneous and reversible protein-protein interactions. Members of the WIPI subfamily of WD40 repeat proteins have a 7-bladed propeller structure and contain a conserved motif for interaction with phospholipids. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]"
ZNF391,346157,zinc finger protein 391,"Predicted to enable DNA-binding transcription repressor activity, RNA polymerase II-specific and RNA polymerase II transcription regulatory region sequence-specific DNA binding activity. Predicted to be involved in negative regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
SV2A,9900,synaptic vesicle glycoprotein 2A,"The protein encoded by this gene is one of three related synaptic vesicle proteins. The encoded protein may interact with synaptotagmin to enhance low frequency neurotransmission in quiescent neurons. [provided by RefSeq, Jun 2016]"
SLC38A1,81539,solute carrier family 38 member 1,"Amino acid transporters play essential roles in the uptake of nutrients, production of energy, chemical metabolism, detoxification, and neurotransmitter cycling. SLC38A1 is an important transporter of glutamine, an intermediate in the detoxification of ammonia and the production of urea. Glutamine serves as a precursor for the synaptic transmitter, glutamate (Gu et al., 2001 [PubMed 11325958]).[supplied by OMIM, Mar 2008]"
FREM2,341640,FRAS1 related extracellular matrix 2,"This gene encodes an integral membrane protein containing numerous CSPG (chondroitin sulfate proteoglycan element) repeats and Calx-beta domains. The encoded protein localizes to the basement membrane, forming a ternary complex that plays a role in epidermal-dermal interactions. This protein is important for the integrity of skin and renal epithelia. Mutations in this gene are associated with Fraser syndrome. [provided by RefSeq, Apr 2014]"
CNTN4,152330,contactin 4,"This gene encodes a member of the contactin family of immunoglobulins. Contactins are axon-associated cell adhesion molecules that function in neuronal network formation and plasticity. The encoded protein is a glycosylphosphatidylinositol-anchored neuronal membrane protein that may play a role in the formation of axon connections in the developing nervous system. Deletion or mutation of this gene may play a role in 3p deletion syndrome and autism spectrum disorders. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2011]"
GPLD1,2822,glycosylphosphatidylinositol specific phospholipase D1,"Many proteins are tethered to the extracellular face of eukaryotic plasma membranes by a glycosylphosphatidylinositol (GPI) anchor. The GPI-anchor is a glycolipid found on many blood cells. The protein encoded by this gene is a GPI degrading enzyme. Glycosylphosphatidylinositol specific phospholipase D1 hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans, thereby releasing the attached protein from the plasma membrane. [provided by RefSeq, Jul 2008]"
JPH1,56704,junctophilin 1,"Junctional complexes between the plasma membrane and endoplasmic/sarcoplasmic reticulum are a common feature of all excitable cell types and mediate cross talk between cell surface and intracellular ion channels. The protein encoded by this gene is a component of junctional complexes and is composed of a C-terminal hydrophobic segment spanning the endoplasmic/sarcoplasmic reticulum membrane and a remaining cytoplasmic domain that shows specific affinity for the plasma membrane. This gene is a member of the junctophilin gene family. [provided by RefSeq, Jul 2008]"
SLC8A1,6546,solute carrier family 8 member A1,"In cardiac myocytes, Ca(2+) concentrations alternate between high levels during contraction and low levels during relaxation. The increase in Ca(2+) concentration during contraction is primarily due to release of Ca(2+) from intracellular stores. However, some Ca(2+) also enters the cell through the sarcolemma (plasma membrane). During relaxation, Ca(2+) is sequestered within the intracellular stores. To prevent overloading of intracellular stores, the Ca(2+) that entered across the sarcolemma must be extruded from the cell. The Na(+)-Ca(2+) exchanger is the primary mechanism by which the Ca(2+) is extruded from the cell during relaxation. In the heart, the exchanger may play a key role in digitalis action. The exchanger is the dominant mechanism in returning the cardiac myocyte to its resting state following excitation.[supplied by OMIM, Apr 2004]"
